Designator,Mid X,Mid Y,Rotation,Layer
C1,123.67267,-74.955199,270.0,bottom
D1,143.51,-92.23,90.0,bottom
F1,127.804203,-91.92008,90.0,top
K1,137.1277,-92.71,0.0,top
LED_J1,132.17,-69.85,0.0,top
LED_JS1,144.022104,-69.85,0.0,top
LED_RELAIS1,144.183608,-80.380375,0.0,top
LED_WIFI1,132.17,-80.34,0.0,top
Q1,125.243526,-80.472723,270.0,bottom
R1,149.86,-69.57,90.0,bottom
R2,127.0,-74.93,90.0,bottom
RELAIS1,152.24,-107.95,180.0,top
SW1,151.13,-78.74,90.0,bottom
U1,147.046,-83.50925,0.0,bottom
